Timestamp,Absolute_Pressure (hPa)
2025-07-08 19:36:02.727,999.80
2025-07-08 19:36:02.932,999.80
2025-07-08 19:36:03.136,999.80
2025-07-08 19:36:03.348,999.30
2025-07-08 19:36:03.550,999.30
2025-07-08 19:36:03.754,1000.10
2025-07-08 19:36:03.955,1000.10
2025-07-08 19:36:04.156,1000.20
2025-07-08 19:36:04.357,1000.20
2025-07-08 19:36:04.559,1000.20
2025-07-08 19:36:04.760,999.60
2025-07-08 19:36:04.961,999.60
2025-07-08 19:36:05.163,1000.00
2025-07-08 19:36:05.364,1000.00
2025-07-08 19:36:05.565,1000.00
2025-07-08 19:36:05.766,999.80
2025-07-08 19:36:05.967,999.80
2025-07-08 19:36:06.168,999.70
2025-07-08 19:36:06.369,999.70
2025-07-08 19:36:06.571,999.70
2025-07-08 19:36:06.772,999.80
2025-07-08 19:36:06.973,999.80
2025-07-08 19:36:07.174,999.80
2025-07-08 19:36:07.375,999.80
2025-07-08 19:36:07.576,999.80
2025-07-08 19:36:07.777,999.70
2025-07-08 19:36:07.983,999.70
2025-07-08 19:36:08.184,1000.10
2025-07-08 19:36:08.385,1000.10
2025-07-08 19:36:08.586,1000.10
2025-07-08 19:36:08.787,999.90
2025-07-08 19:36:08.988,999.90
2025-07-08 19:36:09.189,999.70
2025-07-08 19:36:09.391,999.70
2025-07-08 19:36:09.592,999.70
2025-07-08 19:36:09.793,1000.10
2025-07-08 19:36:09.995,1000.10
2025-07-08 19:36:10.196,999.30
2025-07-08 19:36:10.397,999.30
2025-07-08 19:36:10.599,999.30
2025-07-08 19:36:10.800,999.90
2025-07-08 19:36:11.001,999.90
2025-07-08 19:36:11.202,1000.30
2025-07-08 19:36:11.404,1000.30
2025-07-08 19:36:11.605,1000.30
2025-07-08 19:36:11.806,999.70
2025-07-08 19:36:12.007,999.70
2025-07-08 19:36:12.208,1000.00
2025-07-08 19:36:12.409,1000.00
2025-07-08 19:36:12.611,1000.00
2025-07-08 19:36:12.812,1000.40
2025-07-08 19:36:13.024,1000.40
2025-07-08 19:36:13.225,999.50
2025-07-08 19:36:13.426,999.50
2025-07-08 19:36:13.627,999.50
2025-07-08 19:36:13.828,1000.10
2025-07-08 19:36:14.030,1000.10
2025-07-08 19:36:14.231,999.20
2025-07-08 19:36:14.432,999.20
2025-07-08 19:36:14.633,999.20
2025-07-08 19:36:14.834,999.60
2025-07-08 19:36:15.035,999.60
2025-07-08 19:36:15.237,999.80
2025-07-08 19:36:15.439,999.80
2025-07-08 19:36:15.640,999.80
2025-07-08 19:36:15.841,1000.10
2025-07-08 19:36:16.043,1000.10
2025-07-08 19:36:16.244,999.60
2025-07-08 19:36:16.445,999.60
2025-07-08 19:36:16.646,999.60
2025-07-08 19:36:16.848,1000.00
2025-07-08 19:36:17.049,1000.00
2025-07-08 19:36:17.251,999.90
2025-07-08 19:36:17.452,999.90
2025-07-08 19:36:17.653,1000.20
2025-07-08 19:36:17.855,1000.20
2025-07-08 19:36:18.061,1000.20
2025-07-08 19:36:18.263,1000.00
2025-07-08 19:36:18.464,1000.00
2025-07-08 19:36:18.665,999.90
2025-07-08 19:36:18.866,999.90
2025-07-08 19:36:19.067,999.90
2025-07-08 19:36:19.268,999.70
2025-07-08 19:36:19.469,999.70
2025-07-08 19:36:19.670,1000.30
2025-07-08 19:36:19.871,1000.30
2025-07-08 19:36:20.073,1000.30
2025-07-08 19:36:20.274,999.90
2025-07-08 19:36:20.475,999.90
2025-07-08 19:36:20.676,1000.10
2025-07-08 19:36:20.878,1000.10
2025-07-08 19:36:21.079,1000.10
2025-07-08 19:36:21.280,999.60
2025-07-08 19:36:21.481,999.60
2025-07-08 19:36:21.682,999.60
2025-07-08 19:36:21.883,999.60
2025-07-08 19:36:22.085,999.60
2025-07-08 19:36:22.286,999.80
2025-07-08 19:36:22.487,999.80
2025-07-08 19:36:22.688,1000.10
2025-07-08 19:36:22.889,1000.10
2025-07-08 19:36:23.094,1000.10
2025-07-08 19:36:23.295,999.60
2025-07-08 19:36:23.497,999.60
2025-07-08 19:36:23.698,1000.00
2025-07-08 19:36:23.899,1000.00
2025-07-08 19:36:24.100,1000.00
2025-07-08 19:36:24.302,1000.40
2025-07-08 19:36:24.503,1000.40
2025-07-08 19:36:24.704,999.60
2025-07-08 19:36:24.905,999.60
2025-07-08 19:36:25.106,999.60
2025-07-08 19:36:25.307,999.80
2025-07-08 19:36:25.508,999.80
2025-07-08 19:36:25.709,999.90
2025-07-08 19:36:25.910,999.90
2025-07-08 19:36:26.112,999.90
2025-07-08 19:36:26.313,1000.10
2025-07-08 19:36:26.514,1000.10
2025-07-08 19:36:26.715,999.90
2025-07-08 19:36:26.916,999.90
2025-07-08 19:36:27.118,999.90
2025-07-08 19:36:27.319,1000.00
2025-07-08 19:36:27.520,1000.00
